most_ads_day,most_ads_hour,test_group,users,conversions,conversion_rate,conversion_rate_pct
Monday,7,ad,760,14,0.018421052631578946,1.8421052631578945
Monday,7,psa,26,0,0.0,0.0
Monday,8,ad,2412,82,0.03399668325041459,3.399668325041459
Monday,8,psa,98,0,0.0,0.0
Monday,9,ad,4365,116,0.026575028636884306,2.6575028636884306
Monday,9,psa,181,3,0.016574585635359115,1.6574585635359116
Monday,10,ad,5159,157,0.030432254312851327,3.0432254312851326
Monday,10,psa,229,6,0.026200873362445413,2.6200873362445414
Monday,11,ad,6433,210,0.03264417845484222,3.264417845484222
Monday,11,psa,287,8,0.027874564459930314,2.7874564459930316
Monday,12,ad,6744,224,0.033214709371293,3.3214709371292996
Monday,12,psa,258,7,0.027131782945736434,2.7131782945736433
Monday,13,ad,6678,232,0.03474094040131776,3.474094040131776
Monday,13,psa,292,6,0.02054794520547945,2.054794520547945
Monday,14,ad,6039,271,0.04487497930120881,4.487497930120881
Monday,14,psa,296,10,0.033783783783783786,3.3783783783783785
Monday,15,ad,6357,273,0.04294478527607362,4.294478527607362
Monday,15,psa,327,11,0.03363914373088685,3.3639143730886847
Monday,16,ad,5592,209,0.037374821173104436,3.7374821173104436
Monday,16,psa,266,8,0.03007518796992481,3.007518796992481
Monday,17,ad,5432,195,0.035898379970544916,3.5898379970544916
Monday,17,psa,193,6,0.031088082901554404,3.1088082901554404
Monday,18,ad,5038,140,0.027788805081381502,2.7788805081381502
Monday,18,psa,182,3,0.016483516483516484,1.6483516483516485
Monday,19,ad,4449,136,0.03056866711620589,3.056866711620589
Monday,19,psa,171,6,0.03508771929824561,3.508771929824561
Monday,20,ad,4567,148,0.03240639369389096,3.2406393693890956
Monday,20,psa,158,2,0.012658227848101266,1.2658227848101267
Monday,21,ad,4244,144,0.033930254476908575,3.3930254476908575
Monday,21,psa,159,1,0.006289308176100629,0.628930817610063
Monday,22,ad,3934,118,0.029994916115912557,2.9994916115912558
Monday,22,psa,149,2,0.013422818791946308,1.342281879194631
Monday,23,ad,2550,63,0.024705882352941175,2.4705882352941173
Monday,23,psa,88,0,0.0,0.0
Saturday,0,ad,763,18,0.023591087811271297,2.3591087811271296
Saturday,0,psa,28,0,0.0,0.0
Saturday,1,ad,819,7,0.008547008547008548,0.8547008547008548
Saturday,1,psa,27,0,0.0,0.0
Saturday,2,ad,900,4,0.0044444444444444444,0.4444444444444444
Saturday,2,psa,31,0,0.0,0.0
Saturday,3,ad,362,4,0.011049723756906077,1.1049723756906076
Saturday,3,psa,12,0,0.0,0.0
Saturday,4,ad,79,0,0.0,0.0
Saturday,4,psa,6,0,0.0,0.0
Saturday,5,ad,88,5,0.056818181818181816,5.681818181818182
